Id	Population	RawCoord1	RawCoord2	RawCoord3	RawCoord4	RawCoord5	RawCoord6	RawCoord7	RawCoord8	RawCoord9	RawCoord10	RawCoord11	RawCoord12	RawCoord13	RawCoord14	RawCoord15	RawCoord16	RawCoord17	RawCoord18	RawCoord19	RawCoord20	RawCoord21	RawCoord22	RawCoord23	RawCoord24
ge_5	ge	4.713	18.098	4.506	22.174	5.988	24.397	7.426	25.954	9.56	28.014	12.48	29.837	18.053	30.445	12.925	18.35	18.261	17.312	16.245	21.033	18.113	21.403	22.811	20.647
ge_38	ge	5.922	12.916	5.0	16.175	5.565	18.199	6.607	20.163	8.229	22.693	10.491	25.074	14.776	26.725	14.375	14.881	18.363	15.119	15.997	17.812	18.184	18.66	22.187	19.136
ge_39	ge	4.273	19.777	4.837	23.204	6.157	24.733	7.923	26.379	10.267	28.071	13.294	29.287	18.412	29.495	12.122	19.169	17.225	17.834	16.528	20.86	19.08	21.068	22.24	20.519
ge_40	ge	3.31	8.379	2.202	12.014	2.364	14.157	3.133	16.477	4.374	19.226	6.621	22.374	11.482	24.827	11.29	11.734	15.739	12.591	12.975	15.029	15.517	16.33	19.33	17.32
ge_66	ge	4.904	25.726	6.803	28.685	8.732	29.819	10.912	30.615	13.754	31.336	17.2	31.763	22.162	29.937	12.34	21.602	16.183	18.451	16.36	22.088	19.04	21.087	22.383	18.864
ge_67	ge	7.329	10.397	4.975	13.108	4.781	15.223	5.035	17.547	5.601	20.317	6.763	23.386	10.397	27.05	13.555	15.119	17.934	17.16	14.598	18.962	16.817	20.973	19.409	22.492
ge_68	ge	4.354	15.373	4.13	18.862	5.427	20.815	7.261	22.351	9.587	24.23	12.793	25.929	18.519	25.914	12.57	15.179	16.566	14.046	15.089	17.46	18.101	17.654	21.561	16.908
ge_69	ge	6.853	25.524	8.815	28.602	10.822	29.479	13.156	30.207	15.951	30.98	19.92	31.114	24.484	29.226	14.806	20.782	18.567	17.705	18.448	21.838	21.407	20.426	24.618	18.106
ge_70	ge	7.162	8.138	5.255	10.6	5.18	12.417	5.63	14.429	6.321	16.711	7.717	19.729	11.036	22.552	13.048	11.906	16.981	13.498	14.459	15.36	15.915	16.666	19.504	18.558
ge_91	ge	5.427	15.209	5.785	18.921	7.47	20.86	9.14	22.068	11.69	23.842	15.179	25.229	20.427	25.348	14.001	14.105	18.832	12.346	17.878	15.746	20.472	15.686	24.438	14.508
ge_92	ge	5.501	14.053	4.268	17.585	4.704	19.749	5.786	21.793	7.049	24.408	9.198	27.249	14.098	29.579	13.497	17.224	18.111	17.946	15.841	20.531	18.006	21.643	21.773	22.59
ge_93	ge	6.255	22.606	6.761	26.284	8.25	27.997	10.275	29.367	12.628	31.035	15.517	31.554	21.295	32.047	14.162	21.161	18.794	19.359	18.243	22.591	21.176	22.338	24.214	21.251
ge_94	ge	2.547	23.898	3.48	26.563	4.916	28.236	6.87	29.702	9.476	31.39	12.526	32.723	17.857	31.501	10.616	21.973	15.665	19.722	14.792	23.365	17.501	23.246	21.07	22.032
ge_95	ge	6.267	15.0	5.718	19.009	6.43	21.088	7.574	23.078	9.49	25.573	12.638	28.276	17.762	29.91	14.762	16.871	20.272	16.826	17.658	20.004	19.841	20.806	24.757	21.118
ge_116	ge	11.731	6.534	8.821	8.821	7.885	10.87	7.38	13.097	7.024	15.993	7.113	19.735	9.964	24.695	17.092	13.84	20.537	17.077	16.424	17.627	18.013	20.21	20.537	23.18
ge_117	ge	3.702	21.115	5.227	23.455	6.9	24.58	9.121	25.291	12.083	25.883	15.4	25.957	19.797	23.751	10.365	17.088	13.667	14.215	13.86	17.754	16.11	16.747	18.968	14.704
ge_118	ge	6.081	6.977	3.242	9.89	2.51	12.116	2.271	14.596	2.092	17.584	2.54	21.11	5.483	25.084	12.669	14.686	15.792	17.316	12.281	18.212	13.67	20.677	16.569	23.59
ge_120	ge	3.847	21.397	2.117	25.154	2.773	27.346	3.728	29.761	5.248	32.326	7.589	35.159	13.017	37.306	11.585	23.857	16.461	24.319	13.747	27.182	16.178	28.27	20.547	28.956
ge_136	ge	5.203	21.381	4.814	24.296	5.861	26.509	7.117	28.214	8.896	30.576	11.707	32.878	16.432	34.149	13.098	22.517	17.867	22.203	16.073	25.178	19.258	25.881	22.472	26.001
ge_137	ge	4.078	24.873	3.69	28.204	4.661	29.713	5.692	31.326	7.634	33.313	10.084	35.27	14.401	36.48	10.606	25.978	15.686	25.694	14.192	28.413	16.253	28.861	19.599	28.996
ge_138	ge	6.152	17.13	5.169	20.63	5.809	22.954	7.016	24.846	9.027	27.587	10.978	30.0	15.417	32.13	14.434	19.335	19.32	19.811	16.981	22.567	19.841	23.759	23.118	24.399
ge_139	ge	2.322	21.432	3.609	24.508	4.925	26.032	6.7	27.259	9.348	28.813	12.779	29.804	17.69	29.33	10.428	19.539	14.88	17.616	14.007	20.944	16.462	20.648	19.908	19.568
ge_140	ge	2.745	21.691	4.451	24.821	5.949	26.068	8.19	27.121	10.89	28.085	14.599	28.367	19.406	27.254	11.394	18.071	15.578	15.4	14.955	19.272	17.551	18.709	20.904	17.062
ge_302	ge	4.327	19.48	5.33	23.193	7.037	24.526	9.059	25.619	11.993	26.727	15.332	27.565	20.543	26.338	12.667	16.89	16.785	14.524	16.635	17.833	18.686	17.518	22.1	15.931
ge_303	ge	3.067	17.514	3.778	20.981	5.008	22.833	6.164	24.137	8.787	26.315	12.254	27.901	17.336	27.975	12.328	16.773	16.195	15.78	14.788	19.203	17.573	19.322	21.218	18.699
ge_310	ge	8.263	8.577	5.772	11.261	5.34	13.365	5.474	15.915	5.728	19.033	6.623	22.314	10.381	26.252	14.379	14.274	18.078	16.213	14.886	17.839	16.706	19.763	19.972	21.971
ge_436	ge	4.307	18.738	3.873	22.267	5.055	24.106	6.61	25.841	8.554	27.65	10.976	29.699	15.971	30.731	11.889	18.887	16.853	18.289	15.463	21.459	18.035	22.013	21.4	21.893
ge_437	ge	5.388	23.841	5.897	27.059	7.259	28.705	9.174	30.262	11.434	31.923	14.607	33.405	19.516	33.435	13.769	22.539	17.855	21.102	16.777	24.694	19.366	24.56	22.988	23.692
ge_438	ge	5.514	8.901	3.297	11.943	3.252	14.071	3.596	16.259	4.226	19.091	5.784	22.432	10.07	25.564	11.913	13.292	15.944	14.805	13.202	16.753	15.494	18.461	19.315	20.11
ge_481	ge	2.314	8.219	1.424	11.825	2.018	13.828	3.027	15.727	4.57	18.427	6.958	21.187	11.914	22.967	11.113	10.712	15.118	11.142	12.359	13.798	15.385	15.059	19.139	15.786
ge_482	ge	5.329	20.073	6.242	23.097	7.664	24.668	9.191	25.985	11.391	27.542	14.684	29.009	20.387	28.844	13.487	17.887	18.337	15.867	17.289	19.744	20.073	19.519	23.935	18.396
ge_483	ge	1.853	12.558	1.838	15.94	3.073	17.704	4.735	19.513	6.823	21.395	9.617	23.365	14.69	23.836	10.411	12.058	15.293	10.837	13.837	14.19	16.631	14.425	20.086	13.881
ge_484	ge	2.776	11.076	1.942	14.838	2.852	16.78	4.112	18.556	5.872	20.619	8.314	22.819	13.427	24.139	10.044	12.471	14.99	12.123	13.078	15.233	15.111	15.809	19.026	15.84
ge_485	ge	5.872	7.86	3.706	10.818	3.422	13.209	3.661	15.615	4.019	18.678	5.036	22.234	8.442	26.119	12.103	13.089	17.886	16.153	14.374	17.647	16.168	19.679	19.873	22.144
ge_486	ge	6.4	7.774	2.341	10.734	2.194	12.972	2.562	15.269	3.563	18.184	5.05	21.291	9.041	24.265	11.75	12.677	14.753	13.811	11.956	15.725	14.474	17.389	17.551	18.935
ge_513	ge	8.261	7.828	6.184	10.8	6.229	13.355	6.528	15.461	7.021	18.269	8.649	21.899	12.996	25.201	15.028	12.667	19.823	14.624	16.895	16.522	18.956	18.239	22.123	19.868
ge_514	ge	3.979	15.675	4.054	19.144	4.94	21.006	6.516	22.537	8.573	24.489	11.937	26.771	17.342	27.402	12.147	16.036	17.0	15.21	15.075	18.318	17.552	18.603	21.832	18.003
